codePoints,status,mapping
0..2c,DISALLOWED_STD3_VALID
2d..2e,VALID
2f,DISALLOWED_STD3_VALID
30..39,VALID
3a..40,DISALLOWED_STD3_VALID
41,MAPPED,61
42,MAPPED,62
43,MAPPED,63
44,MAPPED,64
45,MAPPED,65
46,MAPPED,66
47,MAPPED,67
48,MAPPED,68
49,MAPPED,69
4a,MAPPED,6a
4b,MAPPED,6b
4c,MAPPED,6c
4d,MAPPED,6d
4e,MAPPED,6e
4f,MAPPED,6f
50,MAPPED,70
51,MAPPED,71
52,MAPPED,72
53,MAPPED,73
54,MAPPED,74
55,MAPPED,75
56,MAPPED,76
57,MAPPED,77
58,MAPPED,78
59,MAPPED,79
5a,MAPPED,7a
5b..60,DISALLOWED_STD3_VALID
61..7a,VALID
7b..7f,DISALLOWED_STD3_VALID
80..9f,DISALLOWED
a0,DISALLOWED_STD3_MAPPED,20
a1..a7,VALID
a8,DISALLOWED_STD3_MAPPED,"20 308"
a9,VALID
aa,MAPPED,61
ab..ac,VALID
ad,IGNORED
ae,VALID
af,DISALLOWED_STD3_MAPPED,"20 304"
b0..b1,VALID
b2,MAPPED,32
b3,MAPPED,33
b4,DISALLOWED_STD3_MAPPED,"20 301"
b5,MAPPED,3bc
b6,VALID
b7,VALID
b8,DISALLOWED_STD3_MAPPED,"20 327"
b9,MAPPED,31
ba,MAPPED,6f
bb,VALID
bc,MAPPED,"31 2044 34"
bd,MAPPED,"31 2044 32"
be,MAPPED,"33 2044 34"
bf,VALID
c0,MAPPED,e0
c1,MAPPED,e1
c2,MAPPED,e2
c3,MAPPED,e3
c4,MAPPED,e4
c5,MAPPED,e5
c6,MAPPED,e6
c7,MAPPED,e7
c8,MAPPED,e8
c9,MAPPED,e9
ca,MAPPED,ea
cb,MAPPED,eb
cc,MAPPED,ec
cd,MAPPED,ed
ce,MAPPED,ee
cf,MAPPED,ef
d0,MAPPED,f0
d1,MAPPED,f1
d2,MAPPED,f2
d3,MAPPED,f3
d4,MAPPED,f4
d5,MAPPED,f5
d6,MAPPED,f6
d7,VALID
d8,MAPPED,f8
d9,MAPPED,f9
da,MAPPED,fa
db,MAPPED,fb
dc,MAPPED,fc
dd,MAPPED,fd
de,MAPPED,fe
df,DEVIATION,"73 73"
e0..f6,VALID
f7,VALID
f8..ff,VALID
100,MAPPED,101
101,VALID
102,MAPPED,103
103,VALID
104,MAPPED,105
105,VALID
106,MAPPED,107
107,VALID
108,MAPPED,109
109,VALID
10a,MAPPED,10b
10b,VALID
10c,MAPPED,10d
10d,VALID
10e,MAPPED,10f
10f,VALID
110,MAPPED,111
111,VALID
112,MAPPED,113
113,VALID
114,MAPPED,115
115,VALID
116,MAPPED,117
117,VALID
118,MAPPED,119
119,VALID
11a,MAPPED,11b
11b,VALID
11c,MAPPED,11d
11d,VALID
11e,MAPPED,11f
11f,VALID
120,MAPPED,121
121,VALID
122,MAPPED,123
123,VALID
124,MAPPED,125
125,VALID
126,MAPPED,127
127,VALID
128,MAPPED,129
129,VALID
12a,MAPPED,12b
12b,VALID
12c,MAPPED,12d
12d,VALID
12e,MAPPED,12f
12f,VALID
130,MAPPED,"69 307"
131,VALID
132..133,MAPPED,"69 6a"
134,MAPPED,135
135,VALID
136,MAPPED,137
